flat_monthly_index,flat_yearly_index,all_yearly_price_index,all_quarterly_price_index,flat_yearly_price_index,load_timestamp,first_date_of_month,villa_monthly_price_index,all_quarterly_index,flat_quarterly_price_index,villa_quarterly_price_index,all_monthly_index,all_yearly_index,flat_quarterly_index,villa_monthly_index,villa_quarterly_index,villa_yearly_index,villa_yearly_price_index,all_monthly_price_index,flat_monthly_price_index
"1.428","null","null","null","null","2025-11-19 11:56:34","2022-08-01","2158215","null","null","null","1.348","null","null","1.343","null","null","null","1311363","1229309"
"1.528","null","null","null","null","2025-11-19 11:56:34","2023-02-01","2262204","null","null","null","1.415","null","null","1.358","null","null","null","1351860","1302648"
"1.459","null","null","null","null","2025-11-19 11:56:34","2022-10-01","2190569","null","null","null","1.371","null","null","1.355","null","null","null","1327833","1256068"
"1.686","null","null","null","null","2025-11-19 11:56:34","2023-10-01","2615245","null","null","null","1.544","null","null","1.559","null","null","null","1438846","1411717"
"1.004","1","998200","961430","969043","2025-11-19 11:56:34","2012-12-01","1805043","1.005","927742","1807412","1.005","1","1.004","1.066","1.069","1","1682011","963721","933675"
"1.162","null","null","1070970","null","2025-11-19 11:56:34","2020-03-01","1625643","1.144","1026641","1633233","1.1","null","1.206","1.047","0.991","null","null","1058540","1010972"
"1.009","null","null","985875","null","2025-11-19 11:56:34","2011-12-01","1592240","1.012","960267","1597439","1.009","null","1.016","0.991","0.987","null","null","973850","947349"
"1.174","null","null","null","null","2025-11-19 11:56:34","2020-01-01","1635573","null","null","null","1.112","null","null","1.051","null","null","null","1072003","1024430"
"1.272","null","null","null","null","2025-11-19 11:56:34","2016-07-01","2049007","null","null","null","1.243","null","null","1.304","null","null","null","1154627","1104394"
"1.482","null","null","null","null","2025-11-19 11:56:34","2022-11-01","2189580","null","null","null","1.387","null","null","1.343","null","null","null","1334010","1268624"
"1.227","null","null","null","null","2025-11-19 11:56:34","2014-05-01","2106819","null","null","null","1.19","null","null","1.274","null","null","null","1120459","1088069"
"1.29","null","null","null","null","2025-11-19 11:56:34","2018-07-01","2170751","null","null","null","1.251","null","null","1.303","null","null","null","1156371","1109243"
"1.015","null","null","null","null","2025-11-19 11:56:34","2013-01-01","1824146","null","null","null","1.015","null","null","1.077","null","null","null","972966","942268"
"1.21","null","null","1116906","null","2025-11-19 11:56:34","2019-03-01","1921155","1.231","1067265","1977088","1.17","null","1.273","1.172","1.153","null","null","1095413","1044134"
"1.169","null","null","null","null","2025-11-19 11:56:34","2019-08-01","1717184","null","null","null","1.123","null","null","1.084","null","null","null","1057024","1009739"
"0.991","null","null","962784","null","2025-11-19 11:56:34","2012-03-01","1669338","1","934524","1646567","0.99","null","1","1.014","1","null","null","946412","917718"
"1.346","null","null","null","null","2025-11-19 11:56:34","2015-04-01","2170470","null","null","null","1.301","null","null","1.377","null","null","null","1215874","1174360"
